,word,tf_idf,sponsor_id
325,assistant,0.11271380473453932,B001274
326,hydrogen,0.10557276719867978,B001274
327,line credit,0.09678690332740314,B001274
328,obligor,0.09647592488082851,B001274
329,credit,0.08506020406661798,B001274
330,bifia program,0.192886005037572,B001275
331,bifia,0.192886005037572,B001275
332,project,0.17757490053814193,B001275
333,secured loan,0.14287590491188082,B001275
334,assistant secretary,0.1294623905681643,B001275
335,assistant,0.11271380473453932,B001275
336,hydrogen,0.10557276719867978,B001275
337,line credit,0.09678690332740314,B001275
338,obligor,0.09647592488082851,B001275
339,credit,0.08506020406661798,B001275
340,bifia program,0.192886005037572,B001277
341,bifia,0.192886005037572,B001277
342,project,0.17757490053814193,B001277
343,secured loan,0.14287590491188082,B001277
344,assistant secretary,0.1294623905681643,B001277
345,assistant,0.11271380473453932,B001277
346,hydrogen,0.10557276719867978,B001277
347,line credit,0.09678690332740314,B001277
348,obligor,0.09647592488082851,B001277
349,credit,0.08506020406661798,B001277
350,bifia program,0.192886005037572,B001278
351,bifia,0.192886005037572,B001278
352,project,0.17757490053814193,B001278
353,secured loan,0.14287590491188082,B001278
354,assistant secretary,0.1294623905681643,B001278
355,assistant,0.11271380473453932,B001278
356,hydrogen,0.10557276719867978,B001278
357,line credit,0.09678690332740314,B001278
358,obligor,0.09647592488082851,B001278
359,credit,0.08506020406661798,B001278
360,bifia program,0.192886005037572,B001281
361,bifia,0.192886005037572,B001281
362,project,0.17757490053814193,B001281
363,secured loan,0.14287590491188082,B001281
364,assistant secretary,0.1294623905681643,B001281
365,assistant,0.11271380473453932,B001281
366,hydrogen,0.10557276719867978,B001281
367,line credit,0.09678690332740314,B001281
368,obligor,0.09647592488082851,B001281
369,credit,0.08506020406661798,B001281
370,bifia program,0.192886005037572,B001282
371,bifia,0.192886005037572,B001282
372,project,0.17757490053814193,B001282
373,secured loan,0.14287590491188082,B001282
374,assistant secretary,0.1294623905681643,B001282
375,assistant,0.11271380473453932,B001282
376,hydrogen,0.10557276719867978,B001282
377,line credit,0.09678690332740314,B001282
378,obligor,0.09647592488082851,B001282
379,credit,0.08506020406661798,B001282
380,bifia program,0.192886005037572,B001285
381,bifia,0.192886005037572,B001285
382,project,0.17757490053814193,B001285
383,secured loan,0.14287590491188082,B001285
384,assistant secretary,0.1294623905681643,B001285
385,assistant,0.11271380473453932,B001285
386,hydrogen,0.10557276719867978,B001285
387,line credit,0.09678690332740314,B001285
388,obligor,0.09647592488082851,B001285
389,credit,0.08506020406661798,B001285
390,bifia program,0.192886005037572,B001286
391,bifia,0.192886005037572,B001286
392,project,0.17757490053814193,B001286
393,secured loan,0.14287590491188082,B001286
394,assistant secretary,0.1294623905681643,B001286
395,assistant,0.11271380473453932,B001286
396,hydrogen,0.10557276719867978,B001286
397,line credit,0.09678690332740314,B001286
398,obligor,0.09647592488082851,B001286
399,credit,0.08506020406661798,B001286
400,bifia program,0.192886005037572,B001287
401,bifia,0.192886005037572,B001287
402,project,0.17757490053814193,B001287
403,secured loan,0.14287590491188082,B001287
404,assistant secretary,0.1294623905681643,B001287
405,assistant,0.11271380473453932,B001287
406,hydrogen,0.10557276719867978,B001287
407,line credit,0.09678690332740314,B001287
408,obligor,0.09647592488082851,B001287
409,credit,0.08506020406661798,B001287
410,bifia program,0.192886005037572,B001288
411,bifia,0.192886005037572,B001288
412,project,0.17757490053814193,B001288
413,secured loan,0.14287590491188082,B001288
414,assistant secretary,0.1294623905681643,B001288
415,assistant,0.11271380473453932,B001288
416,hydrogen,0.10557276719867978,B001288
417,line credit,0.09678690332740314,B001288
418,obligor,0.09647592488082851,B001288
419,credit,0.08506020406661798,B001288
420,bifia program,0.192886005037572,B001291
421,bifia,0.192886005037572,B001291
422,project,0.17757490053814193,B001291
423,secured loan,0.14287590491188082,B001291
424,assistant secretary,0.1294623905681643,B001291
425,assistant,0.11271380473453932,B001291
426,hydrogen,0.10557276719867978,B001291
427,line credit,0.09678690332740314,B001291
428,obligor,0.09647592488082851,B001291
429,credit,0.08506020406661798,B001291
430,bifia program,0.192886005037572,B001292
431,bifia,0.192886005037572,B001292
432,project,0.17757490053814193,B001292
433,secured loan,0.14287590491188082,B001292
434,assistant secretary,0.1294623905681643,B001292
435,assistant,0.11271380473453932,B001292
436,hydrogen,0.10557276719867978,B001292
437,line credit,0.09678690332740314,B001292
438,obligor,0.09647592488082851,B001292
439,credit,0.08506020406661798,B001292
440,bifia program,0.192886005037572,B001295
441,bifia,0.192886005037572,B001295
442,project,0.17757490053814193,B001295
443,secured loan,0.14287590491188082,B001295
444,assistant secretary,0.1294623905681643,B001295
445,assistant,0.11271380473453932,B001295
446,hydrogen,0.10557276719867978,B001295
447,line credit,0.09678690332740314,B001295
448,obligor,0.09647592488082851,B001295
449,credit,0.08506020406661798,B001295
450,bifia program,0.192886005037572,B001296
451,bifia,0.192886005037572,B001296
452,project,0.17757490053814193,B001296
453,secured loan,0.14287590491188082,B001296
454,assistant secretary,0.1294623905681643,B001296
455,assistant,0.11271380473453932,B001296
456,hydrogen,0.10557276719867978,B001296
457,line credit,0.09678690332740314,B001296
458,obligor,0.09647592488082851,B001296
459,credit,0.08506020406661798,B001296
460,bifia program,0.192886005037572,B001297
461,bifia,0.192886005037572,B001297
462,project,0.17757490053814193,B001297
463,secured loan,0.14287590491188082,B001297
464,assistant secretary,0.1294623905681643,B001297
465,assistant,0.11271380473453932,B001297
466,hydrogen,0.10557276719867978,B001297
467,line credit,0.09678690332740314,B001297
468,obligor,0.09647592488082851,B001297
469,credit,0.08506020406661798,B001297
470,bifia program,0.192886005037572,B001298
471,bifia,0.192886005037572,B001298
472,project,0.17757490053814193,B001298
473,secured loan,0.14287590491188082,B001298
474,assistant secretary,0.1294623905681643,B001298
475,assistant,0.11271380473453932,B001298
476,hydrogen,0.10557276719867978,B001298
477,line credit,0.09678690332740314,B001298
478,obligor,0.09647592488082851,B001298
479,credit,0.08506020406661798,B001298
480,bifia program,0.192886005037572,B001299
481,bifia,0.192886005037572,B001299
482,project,0.17757490053814193,B001299
483,secured loan,0.14287590491188082,B001299
484,assistant secretary,0.1294623905681643,B001299
485,assistant,0.11271380473453932,B001299
486,hydrogen,0.10557276719867978,B001299
487,line credit,0.09678690332740314,B001299
488,obligor,0.09647592488082851,B001299
489,credit,0.08506020406661798,B001299
490,bifia program,0.192886005037572,B001300
491,bifia,0.192886005037572,B001300
492,project,0.17757490053814193,B001300
493,secured loan,0.14287590491188082,B001300
494,assistant secretary,0.1294623905681643,B001300
495,assistant,0.11271380473453932,B001300
496,hydrogen,0.10557276719867978,B001300
497,line credit,0.09678690332740314,B001300
498,obligor,0.09647592488082851,B001300
499,credit,0.08506020406661798,B001300
500,bifia program,0.192886005037572,B001301
501,bifia,0.192886005037572,B001301
502,project,0.17757490053814193,B001301
503,secured loan,0.14287590491188082,B001301
504,assistant secretary,0.1294623905681643,B001301
505,assistant,0.11271380473453932,B001301
506,hydrogen,0.10557276719867978,B001301
507,line credit,0.09678690332740314,B001301
508,obligor,0.09647592488082851,B001301
509,credit,0.08506020406661798,B001301
510,bifia program,0.192886005037572,B001302
511,bifia,0.192886005037572,B001302
512,project,0.17757490053814193,B001302
513,secured loan,0.14287590491188082,B001302
514,assistant secretary,0.1294623905681643,B001302
515,assistant,0.11271380473453932,B001302
516,hydrogen,0.10557276719867978,B001302
517,line credit,0.09678690332740314,B001302
518,obligor,0.09647592488082851,B001302
519,credit,0.08506020406661798,B001302
520,bifia program,0.192886005037572,B001303
521,bifia,0.192886005037572,B001303
522,project,0.17757490053814193,B001303
523,secured loan,0.14287590491188082,B001303
524,assistant secretary,0.1294623905681643,B001303
525,assistant,0.11271380473453932,B001303
526,hydrogen,0.10557276719867978,B001303
527,line credit,0.09678690332740314,B001303
528,obligor,0.09647592488082851,B001303
529,credit,0.08506020406661798,B001303
530,bifia program,0.192886005037572,B001304
531,bifia,0.192886005037572,B001304
532,project,0.17757490053814193,B001304
533,secured loan,0.14287590491188082,B001304
534,assistant secretary,0.1294623905681643,B001304
535,assistant,0.11271380473453932,B001304
536,hydrogen,0.10557276719867978,B001304
537,line credit,0.09678690332740314,B001304
538,obligor,0.09647592488082851,B001304
539,credit,0.08506020406661798,B001304
540,bifia program,0.192886005037572,B001305
541,bifia,0.192886005037572,B001305
542,project,0.17757490053814193,B001305
543,secured loan,0.14287590491188082,B001305
